Montanha,Altitude (metros),Face,Via,Grau Geral,Grau do Crux,Grau do Artificial (Passadas),Grau de Duração,Grau de Exposição,Extensão (metros),Conquistadores,Data da Conquista
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Chuva de pedra,4.0,VI,,,,140.0,Ana Cláudia 'Lila' Flosi; Ian Lima; Rodrigo Motta,13/10/2010
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Tamau,3.0,III,,,,280.0,Luiz Octávio 'Tavinho' Cardozo; Maurício Mota,1977
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Onde as ruas não têm nome,5.0,VI,,,E4/5,95.0,Alcino Falcão; Luis Cláudio 'Ralf' Cortes,
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Casa da mãe Joana,4.0,IVsup,,,E4,200.0,Alexandre Portela; Herbert Fortes; Fernando Vieira,04/02/2003
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Eram os deuses astronautas,4.0,IVsup,,,,150.0,Toti 'Pitoco' Jordan; Eduardo Luna; 2003,
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Padecendo no paraíso,5.0,VIIa,,,,90.0,Fernando Vieira; Juliano Lindner; Márcio Carrilho,03/02/2001
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Última opção/Opção completa,3.0,VI,,,,270.0,Alexandre Siqueira; Jacques Cardeman; Leonardo 'Leo' Siqueira; Márcio Amaral; Michel Cipolati; Guilherme 'Piu-Piu' Fonseca; Miguel Rego,28/05/1998
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Variante Opção vertical,,IIIsup,,,,25.0,Jacques Cardeman; Leonardo 'Leo' Siqueira; Márcio Amaral,04/06/1997
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Dirceu Gouveia,2.0,III,,,,270.0,Juratan Câmara; Luciano Perez,1985
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Lilith,2.0,IIIsup,,,,90.0,Kátia Torres; Lilian White; Sílvia Fittipaldi; Valéria Conforto,10/08/1987
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Variante Eva,,II,,,,25.0,Kátia Torres; Lilian White; Sílvia Fittipaldi; Valéria Conforto,1987
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Ferrugem,2.0,III,,,,270.0,,
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Antares,2.0,II,,,,320.0,Denise Emmer; Giuseppe Pellegrini,02/11/1977
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),Variante Arcturus,,IIsup,,,,30.0,Carlos Carrozino; Rafael Villaça,02/11/2007
Morro dos Cabritos,379,Face Oeste/Sudoeste (Parque da Catacumba),La Belle de Jour,2.0,Vsup,,,E3,205.0,Autor Desconhecido;André Araújo; Flávio Leone,2003
Morro dos Cabritos,379,Face Sul (Rua Constante Ramos),Frank Justus,3.0,IIIsup,,,,200.0,Marcelo 'Pedal Verde' Silva; Ricardo Lima,200?
Morro dos Cabritos,379,Face Sul (Rua Constante Ramos),Genitália,,VIIIc,,,,50.0,Marcelo 'Pedal Verde' Silva; Ricardo Lima; Ricardo Zugliani,200?
Morro dos Cabritos,379,Face Sul (Rua Constante Ramos),Lá de casa dá pra ver,4.0,V,,,,135.0,Marcelo 'Pedal Verde' Silva; Ricardo Lima,200?
Morro dos Cabritos,379,Face Sul (Rua Constante Ramos),Pra galera,3.0,III,,,,150.0,Marcelo 'Pedal Verde' Silva; Ricardo Lima,200?
Morro dos Cabritos,379,Face Leste (Túnel Major Rubens Vaz),Au-Au,2.0,II,,,,,Bruno Cruz; Marcelo Ramos,1984
Morro dos Cabritos,379,Face Nordeste (Rua Santa Clara),Anarquista,,VIIc,A1(2),,,50.0,Fábio da Silveira; Sérgio Tartari; 1983,
Morro dos Cabritos,379,Face Nordeste (Rua Santa Clara),Variante Socialista,,VI,,,,25.0,Alexandre Portela; Sérgio Tartari; 1983,
Morro dos Cabritos,379,Face Nordeste (Rua Santa Clara),Variante Capitalismo Selvagem,,IV,,,,20.0,André Ilha; Ricardo de Moraes; 10/04/1989,
Morro dos Cabritos,379,Face Nordeste (Rua Santa Clara),Chaminé Cinquentenário,4.0,V,C,,,110.0,Amauri Dantas; Jorge Poggi,08/11/1969
Morro dos Cabritos,379,Face Nordeste (Rua Santa Clara),Heróis dos Cabritos,3.0,IV,,,E3,100.0,Gideão 'Xaropinho' Mello; Stephany Rayol,14/12/2010
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Fazendo a cabeça,,VIIa,,,,15.0,André 'Rato Kühner; Júlio Campanella,05/04/2002
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Veias abertas,5.0,VIIb/c,,,,75.0,Bruno Menescal; Sérgio Tartari; André Ilha; Lúcia Duarte,13/10/1991
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Lagoa Rasta,,VIIc,,,,60.0,Júlio Campanella; Marcelo 'Pedal Verde' Silva,29/08/2000
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Variante Lagoa Rasta,,VIIIa,,,,6.0,Gabriel Queiroz; Pedro Kerouac,13/10/2008
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Monstro da Lagoa Negra,,Xa,,,,10.0,Luis Cláudio 'Ralf' Cortes; Marcelo Braga; Daniel Hans 'Coçada',03/2003
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Três porquinhos,,VIsup,,,,7.0,,
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Execução penal,,IXa,,,,12.0,Flávio Leone; André Araújo; Charles Weksler,17/08/2003
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Lagoa Rasta,,VIIc,,,,60.0,Júlio Campanella; Marcelo 'Pedal Verde' Silva,29/08/2000
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Cristais canibais,,VIIb,,,,40.0,André Ilha; Eduardo Cabral,29/04/1993
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Variante Renascido das Cinzas,,Vsup,,,,30.0,Gustavo Sampaio; Márcio Menezes; Pierre Guerry; André Ilha; Kika Bradford; Gabriela Saliba, 14/04/2009
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Variante Quebra-Nozes,,VIIb,,,,20.0,André 'Batata' Padrenosso; Leandro Chen; Marcos 'Kiko' Araújo, 01/05/2010
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Maldita,,VIIa,,,,23.0,André 'Rato' Kühner; Gabriela Saliba; José Carlos 'Leleco' Leal,01/2002
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Prusquistão em casa,,IVsup,,,,23.0,André 'Rato' Kühner; Nilton Campos,10/2003
Morro da Catacumba,131,Face Norte/Noroeste (Platô da Lagoa),Melzinho da Lagoa,,VIsup,,,,15.0,Antônio 'Tonico' Magalhães; Juliano Magalhães,01/01/2010
Pedra do Urubu,111,Face Norte (Lagoa/Fonte da Saudade),Pequena Notável,,VI,,,,30.0,André Ilha; Lúcia Duarte,24/03/1984
Morro da Saudade,244,Falésia do Humaitá,O psicopata,,II,,,E2/3,20.0,André Ilha; Christian 'Tita' Steinhauser; Rodrigo Guardatti; Daniel Toffoli,10/02/2007
Morro da Saudade,244,Falésia do Humaitá,Humaitá verde,,VI,,,,20.0,André Ilha; Christian 'Tita' Steinhauser; Rodrigo Guardatti; Daniel Toffoli,10/02/2007
Morro do Cantagalo,201,Face Nordeste (Túnel Sá Freire Alvim),1990,4.0,V,,,E2/3,145.0,Alcino Falcão; Edilson 'Tilo' Catarino,01/1990
Morro do Cantagalo,201,Face Nordeste (Túnel Sá Freire Alvim),Walmir de Castro,4.0,IVsup,,,,60.0,Fernando de Andrade; Hamilton Maciel; Válter Martins,16/11/1952
Morro do Cantagalo,201,Face Norte (Rua Percy Murray),A Corrida do Ouro,,VIsup,,,E3/4,50.0,Autor desconhecido; Pedro 'Pow' Aragão; Ricardo de Moraes,28/02/2002
Morro do Cantagalo,201,Face Norte (Rua Percy Murray),Variante Sem nome,,III,,,,15.0,,
Morro do Cantagalo,201,Face Norte (Rua Percy Murray),Variante Cigarettes,,IVsup,,,,35.0,Gustavo Sampaio; Márcio Argolo,08/2001
Morro do Cantagalo,201,Face Norte (Rua Percy Murray),Calis,5.0,VI,,,E2/E3,100.0,Carlos Alexandre; Felis Pires; Daniel Towersey; Gustavo Sampaio,12/2000
Morro do Cantagalo,201,Face Norte (Rua Percy Murray),Chaminé do Prego,2.0,III,,,,55.0,Fritz Reuter; Haroldo Penna,22/11/1931
Morro do Cantagalo,201,Face Norte (Rua Percy Murray),El Cracatón Cracato,,,A2+,,,60.0,Eduardo 'Barão' Ribeiro; Júlio Campanella; Arthur Esteves; Kika Bradford,05/05/2009
Morro do Cantagalo,201,Face Norte (Rua Percy Murray),Liga da Justiça,,,A2+,,,30.0,Kika Bradford; Pedro Bugim,25/10/2008
Morro do Cantagalo,201,Face Norte (Rua Percy Murray),Variante Chaminé do Prego,,VI(A0/VIIa),,,E3,25.0,,
Morro do Cantagalo,201,Face Norte (Rua Percy Murray),The Hole is Lower,,VIIa,,,,45.0,Flávio 'Bagre' Carneiro; Gustavo Sampaio,15/03/2001
Morro do Cantagalo,201,Face Norte (Rua Percy Murray),Variante Gilberto Coutinho,,III,,,,25.0,Antônio da Cunha; Etzel Von Stockert; José 'Tião' Sebastião; Raimundo Minchetti,17/07/1960
Morro do Cantagalo,201,Face Norte (Rua Percy Murray),Litle Black Fuck,,VIsup,,,,20.0,Flávio Leone; Márcio Gonçalves,28/04/2010
Morro do Cantagalo,201,Face Norte (Rua Percy Murray),Teoria da Linha Reta,,VII(3),,,,15.0,André Almeida; Flávio Leone,13/10/2006
Morro do Cantagalo,201,Face Norte (Rua Percy Murray),Chaminé do Morcego,,IIsup,,,,45.0,Fritz Reuter; Haroldo Penna; Rudolph Dietrich,29/11/1931
