id,Via,Grau Geral,Grau do Crux,Grau do Artificial (Passadas),Grau de Duração,Grau de Exposição,Extensão (metros),Conquistadores,Data da Conquista,mount_id,face_id,source_id
147,Adrenalina Mil,5,VIIa,,,,85,Luciano Perez; Luis Octávio 'Tavinho' Cardozo;Mário Arnauld;Maurício Mota; Nelson Machado,1988,9,27,1
148,Urbanóide,4,V,,,E2/3,105,Carlos Alexandre; Giovanni Tartari; Marcelo Braga; Sérgio Tartari,29/08/1983,9,27,1
149,Variante Direta,NULL,V,,,,20,Flávio Daflon; Márcio Carrilho,2004,9,27,1
150,Lembranças de um passado,4,V,,,,105,Júlio Campanella; Paulo Oliveira; Felipe 'Felipinho' Assad; Lino,21/09/2001,9,27,1
151,22 de outubro,4,V,,,,100,Leandro Chen; Rafael Wojcik,24/10/2001,9,27,1
152,Gasparito,4,IVsup,,,,135,Cid Villar; José 'Camelô' Lozada; Jorge 'JL' Luiz; Luis Octávio 'Tavinho' Cardozo; Maurício Mota,1986,9,27,1
153,Carlos Alexandre,3,III,,,E2/3,170,Luis Octávio 'Tavinho' Cardozo; Maurício Mota,1978,9,27,1
154,Falcão à espreita,4,IVsup,,,E3,100,Alcino Falcão; André Kühner; Leandro Chen; Rodrigo Molina,2004,9,27,1
155,Variante de Carlos Alexandre,NULL,III,,,,40,Luis Octávio 'Tavinho' Cardozo; Maurício Mota,1978,9,27,1
156,Caverna de cristal,4,VI,,,,140,Fernando Vieira; Juliano Lindner; Flávia Maximo,10/08/2001,9,27,1
157,Brilho da noite,3,IIIsup,,,,120,Fernando Vieira; Juliano Lindner,17/01/2001,9,27,1
158,Paixão de Cris,3,IIIsup,,,,90,Dalton Chiarelli; Juratan Câmara; Marco Vidon; Pedro Caliano,1987,9,27,1
159,Labirintite,4,IVsup,,,,100,Fábio Serfaty; Márcio Carrilho,2002,9,27,1
160,Rumores da Algazarra,3,Vsup,,,,100,Jorge Schubert; Renato Souto,10/09/1988,9,27,1
161,Via Láctea,2,IIIsup,,,,95,Benito Esteves; José 'Camelô' Lozada; Pedro Caliano; Renato Souto; Roberto Luiz 'Puú' Souza; Wagner Lozada,26/06/1980,9,27,1
162,Guanabara,2,IV,,,,95,Benito Esteves; José 'Camelô' Lozada; Juratan Câmara; Renato Souto,02/02/1979,9,27,1
163,Mandei um barro,NULL,IV,,,,10,Alexandre Faia,03/2011,10,28,2
164,Os Amanayés,NULL,IV,,,,15,Alexandre Faia,02/2011,10,28,2
165,Variante Boa sorte Marianne,NULL,IV,,,,5,Alexandre Faia,02/2011,10,28,2
166,Noite e dia,NULL,VIIa,,,,20,Pedro Bugim; Maria Fernanda Patrício,15/07/2012,10,28,2
167,Sulamita,NULL,VIsup,,,,20,Paulo 'Macaco',1997,10,28,2
168,Livrai-me de mim mesmo,NULL,IV,,,,20,Alexandre Faia; Ricardo Almeida,04/2011,10,28,2
169,Retinha do Graal,NULL,Vsup,,,,15,Eduardo '47',03/2011,10,28,2
170,As bolas do Wilson,NULL,IIsup,,,,20,Pedro Bugim; Sérgio 'Garfield',21/04/2011,10,28,2
171,23 de abril,NULL,IIIsup,,,,20,Pedro Bugim;Laura Petroni; João Pedro Vergnano,23/04/2019,10,28,2
172,Vovô Abílio foi às compras,NULL,IVsup,,,,15,Alexandre Faia; Ricardo Almeida,03/2011,10,28,2
173,Sônia Trote,NULL,III,,,,20,Alexandre Faia; Ricardo Almeida,03/2011,10,28,2
174,Saidinha de banco,NULL,III,,,,20,Alexandre Faia; Ricardo Almeida,03/2011,10,28,2
175,30 de setembro,NULL,IIIsup,,,,20,Pedro Bugim;Laura Petroni; Carlos Alberto Carrozino,30/09/2018,10,28,2
176,13 de outubro,NULL,IVsup,,,,20,Pedro Bugim;Laura Petroni; João Pedro Vergnano,13/10/2019,10,28,2
