id,Via,Grau Geral,Grau do Crux,Grau do Artificial (Passadas),Grau de Duração,Grau de Exposição,Extensão (metros),Conquistadores,Data da Conquista,mount_id,face_id,source_id
173,A um passo do asfalto,NULL,VIIb,,,,10,Cláudio Peixoto,199?,17,NULL,1
174,Pablito e o lagarto na terra do mosquito,NULL,VIIc,,,,7,Cláudio Peixoto,199?,17,NULL,1
175,Anta & Anta S.A.,3,IVsup,,,,NULL,Carlos Eduardo 'Cadu' Pinto; Eugênio 'Empadão' Epprecht; Roland Cialon,03/06/1972,18,33,1
176,Bill liberou,3,IVsup,,,,NULL,Marcelo Ramos; Mauro Silva,24/02/1983,18,33,1
177,Vera Regina,4,Vsup,A1(3),,,220,Carlos Carrozino; Cláudio Leuzinger; Paulo 'Pauleca' Boaventura; Rubem Klein,25/05/1965,18,34,1
178,Rafael e o sapo na festa do céu,5,VIsup,,,E2/3,240,Fernando Vieira; Juliano Lindner,12/03/2001,18,34,1
179,Sombra e água fresca,5,VI,,,,350,Carlos 'Paulista' Braga; Luis 'Penacho' Bevilacqua; Rodolfo Chermont,09/1970,18,34,1
180,Ninguém merece,6,VI,,,E4,150,André 'Rato' Kühner; Fernando Sabioni; George 'Jujo' Salamani; Nilton Campos,15/08/2003,18,34,1
181,Solaris,5,Vsup,,,,175,Sérgio Bruno; Fernando Poyares,17/04/1981,18,34,1
182,Caixa de Pandora,5,VI,,,,255,Ivan Calou; Jean-Pierre Von Der Weid; Luis Alexandre,17/07/1999,18,34,1
183,Marizel,4,V,,,E2/3,210,Felis Pires; Ruy Mazurek,1978,18,34,1
184,Paulista,3,V,,,,190,Cristiano Requião; Eugênio 'Empadão' Epprecht,30/03/1972,18,35,1
185,Tamanho não é documento,5,VIIa,,,E2/3,100,André 'Rato' Kühner; Fernando Sabioni; Gabriela Saliba; Patrícia Duffles,20/01/2001,18,35,1
186,Chaminé Ivo Pereira,3,,,,,NULL,Almy Ulisséa; Ivo Pereira; Oscar Azambuja,01/09/1935,18,36,1
