croqui_id,path_to_img,autor,id_fonte
1,/home/igor/Área de Trabalho/Cumes do Brasil/App de vias/Imagens/Img1.jpeg,Pedro Bugim,2
2,/home/igor/Área de Trabalho/Cumes do Brasil/App de vias/Imagens/Img2.jpeg,Pedro Bugim,2
