id,nome,grau,crux,artificial,duracao,exposicao,extensao,conquistadores,data,id_montanha,id_face,id_fonte,id_variante,id_croqui
46,Chamonix,,III (A1/VIIIa),,,,50.0,Alexandre Decker; Anselmo Pires; Jair Lourenço; Jaime Pitaluga; Juarez Trigueiro,1965-01-23,4,13.0,1,,
47,Passo do gigante,2.0,,,,,,,NULL,4,13.0,1,6.0,
48,Jânio Quadros,2.0,,,,,,Carlos Cerqueira; José Schuster; Raimundo Minchetti; Rogério Santana,1963-01-01,4,13.0,1,7.0,
49,Aresta Fuligem,,VI,,,E2/3,12.0,André 'Batata' Padrenosso; Marcus 'Kiko' Araújo; Ricardo Bastos,2007-08-05,5,14.0,1,,
50,Bagaço da laranja,,VIIc,,,,12.0,Júlio Campanella,1994-01-01,5,15.0,1,,
51,Bem-Te-Vi,3.0,IV,,,,160.0,André Ilha; José 'Camelô' Lozada; Renato Souto,1990-09-13,5,16.0,1,,
52,Encruzilhada,4.0,IVsup,,,E2/3,235.0,Júlio Campanella; Leandro Moura,2002-08-22,5,16.0,1,,
53,Via do Beto,4.0,IVsup,,,E5,180.0,Herbert Fortes,NULL,5,16.0,1,,
54,Amnésia Audaciosa,4.0,IVsup,,,E2/3,120.0,André Ilha; Bóris Flegr; Carlos 'Chuchu' Arruzo; Francisco 'Playboy' Castagnaro; Ivan Azevedo; Monique Correa; Rodolfo Campos,2007-04-15,5,16.0,1,,
55,Lagoa,3.0,IV,,,,245.0,Fernando Gusmão; Gilberto Chiarelli; José Carlos Almeida,1970-10-17,5,16.0,1,,
56,O satânico Dr. Pow,4.0,IVsup,,,E2/3,215.0,Bruno Dias; Jean Pierre Von Der Weid; Luis Alexandre; Pedro 'Pow' Aragão; Ricardo Moraes,2004-06-04,5,16.0,1,,
57,Cabrito Cabreiro,4.0,V,,,E2/3,230.0,André Kühner; Júlio Campanella; Nilton Campos,2000-09-11,5,16.0,1,,
58,A fogueira das vaidades,4.0,V,,,E2/3,165.0,Arthur Solleiro; Pedro 'Pow' Aragão; Ricardo de Moraes,2002-01-04,5,16.0,1,8.0,
59,Grande guerreiro,4.0,IV,,,E2/3,220.0,Frederico Noritomi; Guiderlan 'Dolly' Mantovani; Hernande Oliveira; Manuel do Rosário; Rodolfo Campos,2002-03-24,5,16.0,1,,
60,Cabrito em chamas,4.0,IVsup,,,E3,170.0,André Kühner; Arianne Carvalhedo; Gabriela Saliba,2001-09-01,5,16.0,1,9.0,
61,Os exércitos de um homem só,3.0,III,,,,200.0,Pedro 'Pow' Aragão,2001-10-08,5,16.0,1,,
62,Carioca,2.0,III,,,,100.0,Francisco Menescal; Hudson Machado; Jarci Machado; Luiz Menescal; Ricardo Menescal,1947-12-07,5,16.0,1,,
63,Es muerto,,Vsup,,,E4/5,25.0,Hernande Oliveira; Rodolfo Campos,2001-08-18,5,17.0,1,,
64,PFF2,2.0,II,,,,400.0,Ferando Fuhrkin; Paulo Favaron,1992-01-01,5,18.0,1,,
65,Cristal acima,3.0,IV,,,E2/E3,135.0,Fábio Serfaty; Márcio Carilho,2005-01-01,5,18.0,1,,
66,Chuva de pedra,4.0,VI,,,,140.0,Ana Cláudia 'Lila' Flosi; Ian Lima; Rodrigo Motta,2010-10-13,5,18.0,1,,
67,Tamau,3.0,III,,,,280.0,Luiz Octávio 'Tavinho' Cardozo; Maurício Mota,1977-01-01,5,18.0,1,,
68,Onde as ruas não têm nome,5.0,VI,,,E4/5,95.0,Alcino Falcão; Luis Cláudio 'Ralf' Cortes,NULL,5,18.0,1,,
69,Casa da mãe Joana,4.0,IVsup,,,E4,200.0,Alexandre Portela; Herbert Fortes; Fernando Vieira,2003-02-04,5,18.0,1,,
70,Eram os deuses astronautas,4.0,IVsup,,,,150.0,Toti 'Pitoco' Jordan; Eduardo Luna,2003-01-01,5,18.0,1,,
71,Padecendo no paraíso,5.0,VIIa,,,,90.0,Fernando Vieira; Juliano Lindner; Márcio Carrilho,2001-02-03,5,18.0,1,,
72,Última opção/Opção completa,3.0,VI,,,,270.0,Alexandre Siqueira; Jacques Cardeman; Leonardo 'Leo' Siqueira; Márcio Amaral; Michel Cipolati; Guilherme 'Piu-Piu' Fonseca; Miguel Rego,1998-05-28,5,18.0,1,10.0,
73,Dirceu Gouveia,2.0,III,,,,270.0,Juratan Câmara; Luciano Perez,1985-01-01,5,18.0,1,,
74,Lilith,2.0,IIIsup,,,,90.0,Kátia Torres; Lilian White; Sílvia Fittipaldi; Valéria Conforto,1987-08-10,5,18.0,1,11.0,
75,Ferrugem,2.0,III,,,,270.0,,NULL,5,18.0,1,,
76,Antares,2.0,II,,,,320.0,Denise Emmer; Giuseppe Pellegrini,1977-11-02,5,18.0,1,12.0,
77,La Belle de Jour,2.0,Vsup,,,E3,205.0,Autor Desconhecido;André Araújo; Flávio Leone,2003-01-01,5,18.0,1,,
78,Frank Justus,3.0,IIIsup,,,,200.0,Marcelo 'Pedal Verde' Silva; Ricardo Lima,NULL,5,19.0,1,,
79,Genitália,,VIIIc,,,,50.0,Marcelo 'Pedal Verde' Silva; Ricardo Lima; Ricardo Zugliani,NULL,5,19.0,1,,
80,Lá de casa dá pra ver,4.0,V,,,,135.0,Marcelo 'Pedal Verde' Silva; Ricardo Lima,NULL,5,19.0,1,,
81,Pra galera,3.0,III,,,,150.0,Marcelo 'Pedal Verde' Silva; Ricardo Lima,NULL,5,19.0,1,,
82,Au-Au,2.0,II,,,,,Bruno Cruz; Marcelo Ramos,1984-01-01,5,20.0,1,,
83,Anarquista,,VIIc,A1(2),,,50.0,Fábio da Silveira; Sérgio Tartari,1983-01-01,5,21.0,1,14.0,
84,Chaminé Cinquentenário,4.0,V,C,,,110.0,Amauri Dantas; Jorge Poggi,1969-11-08,5,21.0,1,,
85,Heróis dos Cabritos,3.0,IV,,,E3,100.0,Gideão 'Xaropinho' Mello; Stephany Rayol,2010-12-14,5,21.0,1,,
86,Fazendo a cabeça,,VIIa,,,,15.0,André 'Rato Kühner; Júlio Campanella,2002-04-05,6,22.0,1,,
87,Veias abertas,5.0,VIIb/c,,,,75.0,Bruno Menescal; Sérgio Tartari; André Ilha; Lúcia Duarte,1991-10-13,6,22.0,1,,
88,Lagoa Rasta,,VIIc,,,,60.0,Júlio Campanella; Marcelo 'Pedal Verde' Silva,2000-08-29,6,22.0,1,15.0,
89,Monstro da Lagoa Negra,,Xa,,,,10.0,Luis Cláudio 'Ralf' Cortes; Marcelo Braga; Daniel Hans 'Coçada',2003-03-01,6,22.0,1,,
90,Três porquinhos,,VIsup,,,,7.0,,NULL,6,22.0,1,,
91,Execução penal,,IXa,,,,12.0,Flávio Leone; André Araújo; Charles Weksler,2003-08-17,6,22.0,1,,
92,Lagoa Rasta,,VIIc,,,,60.0,Júlio Campanella; Marcelo 'Pedal Verde' Silva,2000-08-29,6,22.0,1,,
93,Cristais canibais,,VIIb,,,,40.0,André Ilha; Eduardo Cabral,1993-04-29,6,22.0,1,17.0,
94,Maldita,,VIIa,,,,23.0,André 'Rato' Kühner; Gabriela Saliba; José Carlos 'Leleco' Leal,2002-01-01,6,22.0,1,,
95,Prusquistão em casa,,IVsup,,,,23.0,André 'Rato' Kühner; Nilton Campos,2003-10-01,6,22.0,1,,
96,Melzinho da Lagoa,,VIsup,,,,15.0,Antônio 'Tonico' Magalhães; Juliano Magalhães,2010-01-01,6,22.0,1,,
97,Pequena Notável,,VI,,,,30.0,André Ilha; Lúcia Duarte,1984-03-24,7,23.0,1,,
98,O psicopata,,II,,,E2/3,20.0,André Ilha; Christian 'Tita' Steinhauser; Rodrigo Guardatti; Daniel Toffoli,2007-02-10,8,24.0,1,,
99,Humaitá verde,,VI,,,,20.0,André Ilha; Christian 'Tita' Steinhauser; Rodrigo Guardatti; Daniel Toffoli,2007-02-10,8,24.0,1,,
100,1990,4.0,V,,,E2/3,145.0,Alcino Falcão; Edilson 'Tilo' Catarino,1990-01-01,9,25.0,1,,
101,Walmir de Castro,4.0,IVsup,,,,60.0,Fernando de Andrade; Hamilton Maciel; Válter Martins,1952-11-16,9,25.0,1,,
102,A Corrida do Ouro,,VIsup,,,E3/4,50.0,Autor desconhecido; Pedro 'Pow' Aragão; Ricardo de Moraes,2002-02-28,9,26.0,1,,
103,Calis,5.0,VI,,,E2/E3,100.0,Carlos Alexandre; Felis Pires; Daniel Towersey; Gustavo Sampaio,2000-12-01,9,26.0,1,19.0,
104,Chaminé do Prego,2.0,III,,,,55.0,Fritz Reuter; Haroldo Penna,1931-11-22,9,26.0,1,21.0,
105,El Cracatón Cracato,,,A2+,,,60.0,Eduardo 'Barão' Ribeiro; Júlio Campanella; Arthur Esteves; Kika Bradford,2009-05-05,9,26.0,1,,
106,Liga da Justiça,,,A2+,,,30.0,Kika Bradford; Pedro Bugim,2008-10-25,9,26.0,1,,
107,The Hole is Lower,,VIIa,,,,45.0,Flávio 'Bagre' Carneiro; Gustavo Sampaio,2001-03-15,9,26.0,1,,
108,Litle Black Fuck,,VIsup,,,,20.0,Flávio Leone; Márcio Gonçalves,2010-04-28,9,26.0,1,,
